STT,iso_code,country,population_2021,population_2020,area,density,growth_rate,world_percent,rank
183,LCA,Saint Lucia,184831,183627,616,300.0503246753247,0.6556769973914411,0.002363553927895185,189.0
184,GUM,Guam,171041,168775,549,311.55009107468123,1.3426159087542633,0.002187212250007414,190.0
185,CUW,Curacao,165229,164093,444,372.1373873873874,0.692290347546809,0.0021128904347874197,191.0
186,KIR,Kiribati,122470,119449,811,151.01109741060418,2.5291128431380816,0.0015661033568466509,192.0
187,FSM,Micronesia,116901,115023,702,166.52564102564102,1.6327169348739012,0.0014948889403015458,193.0
188,GRD,Grenada,113237,112523,344,329.17732558139534,0.6345369391146605,0.001448034994849712,194.0
189,ABW,Aruba,107204,106766,180,595.5777777777778,0.4102429612423464,0.0013708871092299204,196.0
190,TON,Tonga,107407,105695,747,143.78447121820616,1.6197549552958934,0.001373483001950096,197.0
191,VIR,United States Virgin Islands,104010,104425,347,299.7406340057637,-0.39741441225760177,0.00133004335874598,198.0
192,SYC,Seychelles,99124,98347,452,219.30088495575222,0.7900596866198262,0.0012675629063776226,199.0
193,ATG,Antigua And Barbuda,99162,97929,442,224.34841628959276,1.259075452623848,0.001268048837034601,200.0
194,AND,Andorra,77355,77265,468,165.28846153846155,0.11648223645894795,0.000989188578173207,202.0
195,DMA,Dominica,72167,71986,751,96.09454061251664,0.2514377795682421,0.0009228462558467563,203.0
196,CYM,Cayman Islands,66497,65722,264,251.88257575757575,1.179209397157721,0.0008503402867659978,204.0
197,BMU,Bermuda,62090,62278,54,1149.8148148148148,-0.3018722502328264,0.0007939851182053446,205.0
198,MHL,Marshall Islands,59610,59190,181,329.3370165745856,0.7095793208312218,0.0007622717490130552,206.0
199,MNP,Northern Mariana Islands,57917,57559,464,124.82112068965517,0.6219704998349451,0.0007406222594797704,207.0
200,GRL,Greenland,56877,56770,2166086,0.026257960210259425,0.18847983089660403,0.0007273231046571974,208.0
201,ASM,American Samoa,55100,55191,199,276.88442211055275,-0.1648819553912828,0.0007045994526190125,209.0
202,KNA,Saint Kitts And Nevis,53544,53199,261,205.1494252873563,0.6485084306095956,0.0006847018709806244,210.0
203,FRO,Faroe Islands,49049,48863,1393,35.21105527638191,0.38065612017272876,0.0006272213893195996,211.0
204,MAF,Sint Maarten,43412,42876,34,1276.8235294117646,1.2501166153559007,0.0005551374126514804,212.0
205,MCO,Monaco,39511,39242,2,19755.5,0.6854900361857208,0.0005052527944179637,213.0
206,MAF,Saint Martin,39234,38666,53,740.2641509433962,1.4689908446697375,0.0005017106156815669,214.0
207,TCA,Turks And Caicos Islands,39231,38717,948,41.38291139240506,1.3275821990340164,0.0005016722527349633,215.0
208,LIE,Liechtenstein,38250,38128,160,239.0625,0.3199748216533793,0.000489127569195594,216.0
209,SMR,San Marino,34017,33931,61,557.655737704918,0.2534555421296103,0.00043499745153794826,217.0
210,GIB,Gibraltar,33698,33691,6,5616.333333333333,0.020777062123422674,0.0004309181915491013,218.0
211,PLW,Palau,18169,18094,459,39.5838779956427,0.41450204487676334,0.0002323387922801241,220.0
212,COK,Cook Islands,17565,17564,236,74.42796610169492,0.005693463903444496,0.00022461505236393746,221.0
213,AIA,Anguilla,15117,15003,91,166.12087912087912,0.7598480303939281,0.00019331088793541942,222.0
214,TUV,Tuvalu,11931,11792,26,458.88461538461536,1.1787652645861568,0.00015256943864242175,223.0
215,WLF,Wallis And Futuna,11094,11239,142,78.12676056338029,-1.2901503692499317,0.00014186617654002404,224.0
216,NRU,Nauru,10876,10824,21,517.9047619047619,0.48041389504804854,0.00013907846908683085,225.0
217,BL,Saint Barthelemy,9907,9877,21,471.76190476190476,0.30373595221220295,0.0001266872373338758,226.0
218,SPM,Saint Pierre And Miquelon,5766,5794,242,23.826446280991735,-0.48325854332067486,7.373358337207307e-05,227.0
219,MSR,Montserrat,4977,4992,102,48.794117647058826,-0.30048076923077094,6.364412841533258e-05,228.0
220,FLK,Falkland Islands,3533,3480,12173,0.2902324817218434,1.5229885057471249,4.517876345014467e-05,229.0
221,NIU,Niue,1619,1626,260,6.226923076923077,-0.4305043050430557,2.0703203517063182e-05,230.0
222,TKL,Tokelau,1373,1357,12,114.41666666666667,1.179071481208549,1.755744189556995e-05,231.0
223,VAT,Vatican City,800,801,1,800.0,-0.12484394506866447,1.0230119094286933e-05,232.0
